"idGasesEmBolhas";"idCampanha";"idSitio";"profundidade";"CO2";"O2";"N2";"CH4";"N2O";"dataMedida"
"1";"801";"8123";\N;"1.5620000362";"2.9189999104";"8.8900003433";"0.0031419999";\N;"2003-11-20"
"2";"808";"8124";\N;"21.620000839";"3.5999999046";"8.25";"0.0320000015";\N;"2004-07-16"
"3";"808";"8124";\N;"7.2300000191";"4.6199998856";"10.5";"0.0140000004";\N;"2004-07-16"
"4";"808";"8125";\N;"0.1400000006";"5.1999998093";"13.31000042";"0.1599999964";\N;"2004-07-16"
"5";"808";"8125";\N;\N;"3.9800000191";"18.079999924";"0.1299999952";\N;"2004-07-16"
"6";"1001";"10092";\N;"2.9800000191";"6.9499998093";"2.9300000668";"0.2860000134";\N;"2003-11-26"
"7";"1001";"10092";\N;"3.0199999809";"10.5";"3.9500000477";"0.0829999968";\N;"2003-11-26"
"8";"1005";"10093";\N;"0.4699999988";"3.5";"11.420000076";"0.0030100001";\N;"2004-03-22"
"9";"1005";"10094";\N;"0.4399999976";"3.0899999142";"8.4600000381";"0.00352";\N;"2004-03-23"
"10";"1008";"10095";"3";"0.5199999809";"13.920000076";"3.6500000954";"5.0000002e-4";\N;"2004-07-21"
"11";"1008";"10095";"16";"1.0599999428";"16.430000305";"3.3699998856";"0.0011";\N;"2004-07-21"
"12";"1008";"10095";"1";"0.2700000107";"5.8699998856";"16.510000229";"6.0000003e-4";\N;"2004-07-22"
"13";"1008";"10095";"20";"3.0199999809";\N;"27.090000153";"0.0130000003";\N;"2004-07-22"
"14";"1201";"12144";\N;\N;"3.5699999332";"9.5699996948";"0.001";"0.0460000001";"2004-11-22"
"15";"1201";"12145";\N;\N;"5.5900001526";"17.149999619";"0.001";"0.2549999952";"2004-11-22"
"16";"1201";"12145";\N;"0.0130000003";"3.6700000763";"8.7299995422";"0.0020000001";"0.057";"2004-11-22"
"17";"1301";"13111";\N;"0.0900000036";"5.4699997902";"16.170000076";"0.0080000004";"0.0920000002";"2004-11-19"
"18";"1301";"13111";\N;\N;"4.5100002289";"12.819999695";"0.0120000001";"0.0659999996";"2004-11-19"
"19";"1301";"13112";\N;"0.7200000286";"7.6500000954";"25.840000153";"0.0049999999";"0.2370000035";"2004-11-19"
"20";"1301";"13112";\N;"1.1000000238";"3.5699999332";"10.760000229";"0.003";"0.1780000031";"2004-11-19"
