"idestacao";"idHexadecimal";"rotulo";"lat";"lng";"inicio";"fim"
"30842";"e1ea9";"Balbina";"-1.903697222";"-59.46910833";"2013-08-16";\N
"30913";"e3074";"Ibitinga 3";"-21.76121";"-48.98112";"2013-03-22";\N
"30915";"e30d2";"Itumbiara 2";"-18.418158";"-49.060728";"2009-03-28";\N
"309151";"e30d2";"Três Marias";"-18.255869429558";"-45.2594789117575";"2012-08-22";\N
"30916";"e3138";"Mamirauá";"-2.9872";"-64.91130556";"2009-06-08";\N
"30931";"e34fd";"Itumbiara 3";"-18.283875";"-48.906598";"2009-11-18";"2011-09-25"
"309311";"e34fd";"Funil 3";"-22.53143";"-44.564";"2011-10-24";\N
"30932";"e3517";"Antar";"-62.98174444";"-60.62037778";"2012-06-01";\N
"30933";"e3544";"Itaipu";"-25.030536";"-54.425103";"2012-07-20";\N
"30934";"e35b1";"Tucuruí 2";"-3.86384";"-49.63189";"2012-11-21";\N
"30935";"e35e2";"Xingó";"-9.608563";"-37.808967";"2012-10-20";\N
"30936";"e3636";"Segredo";"-25.79255";"-52.12394";"2013-01-31";\N
"30937";"e3665";"Ibitinga 1";"-21.910947";"-48.8914";"2012-09-13";\N
"30938";"e3690";"Ibitinga 2";"-22.13009";"-48.83975";"2013-03-21";\N
"30946";"e388c";"Furnas - Embrapa";"-20.72153611";"-45.92052222";"2013-07-26";\N
"31966";"f3796";"Itumbiara 1";"-18.28358333";"-48.90538889";"2005-01-23";"2006-02-11"
"319660";"f3796";"Furnas 1";"-20.66080556";"-46.30216667";"2006-02-13";"2007-02-06"
"319661";"f3796";"Funil 1";"-22.52972222";"-44.56486111";"2007-02-08";"2011-09-05"
"31967";"f37c5";"Curuai";"-2.199875";"-55.227991";"2004-04-25";"2010-03-11"
"32445";"faf51";"Serra da Mesa 1";"-13.84054444";"-48.30870556";"2004-01-12";"2010-06-08"
"324451";"faf51";"Serra da Mesa 2";"-13.84024";"-48.3092";"2011-12-14";\N
"32446";"fafa4";"Manso 1";"-14.870083";"-55.77025";"2004-01-18";"2005-01-22"
"324460";"fafa4";"Corumbá";"-17.7784";"-48.5609";"2005-01-26";"2006-02-10"
"324461";"fafa4";"Estreito";"-20.15647222";"-47.26547222";"2006-02-12";"2007-01-30"
"324462";"fafa4";"Manso 2";"-14.870083";"-55.77025";"2007-01-31";"2008-11-06"
"32459";"fb2d0";"Tucuruí 1";"-3.8633";"-49.63108";"2004-04-27";"2010-02-14"
"funilB";\N;"Funil 2";"-22.51338333";"-44.63541667";"2007-02-08";"2007-10-16"
"moraes";\N;"Mascarenhas de Moraes";"-20.31078333";"-47.03515278";"2006-02-07";"2007-02-06"
